row,genes,reactions
43,s0001,rxn08510;rxn08144;rxn05468;rxn08340;rxn08691;rxn08966;rxn08313;rxn02666;rxn01606;rxn08032;rxn05581;rxn08484;rxn08912;rxn08679;rxn05319;rxn08246;rxn00064;rxn05467;rxn02374;rxn08463;rxn08689;rxn08913;rxn05466;rxn08502;rxn09008;rxn08494;rxn09258;rxn08461;rxn05319
44,b1463,rxn08034
45,b1993,rxn03537;rxn03536
46,b0185;b2316;b3255;b3256,rxn00533
47,b0335,rxn00669
48,b1119,rxn00892
49,b3784,rxn08040
50,b0679;b2415;b2416,rxn05485
51,b1101;b2415;b2416;b2417,rxn05226;rxn05485
52,b3959,rxn01917
53,b2818,rxn00192
54,b3670;b3671,rxn08043;rxn15021
55,b0077;b0078,rxn08043;rxn15021
56,b2296,rxn00225
57,b1849,rxn00225;rxn04783
58,b3115,rxn00225;rxn00985
59,b3794,rxn08045
60,b1817;b1818;b1819;b2415;b2416,rxn05569;rxn05226;rxn05610;rxn08046;rxn08535
61,b2415;b2416;b2417;b2429,rxn08048;rxn05655
62,b3224,rxn05487
63,b4311,rxn08051
64,b3225,rxn01322
65,b0221,rxn08053;rxn03253;rxn02679;rxn02720;rxn03251;rxn00872;rxn02803;rxn00946
66,b1091;b1094,rxn05349
67,b3957,rxn08968;rxn00469
68,b1519,rxn04016
69,b1276,rxn00974;rxn01388
70,b0118,rxn00974;rxn01388;rxn03061
71,b3359,rxn01637;rxn03087
72,b1748,rxn01637;rxn02944
73,b3475,rxn06023
74,b2563,rxn06023
75,b4069,rxn00175
76,b2578,rxn08284;rxn08059
77,b1533,rxn08284;rxn08059
78,b4067,rxn08062;rxn08652
79,b1623,rxn01858;rxn01137
80,b1096,rxn03841
81,b1812;b3360,rxn01257
82,b3665,rxn00926
83,b3654,rxn05491;rxn05202;rxn05203
84,b0474,rxn00409;rxn00134;rxn01353;rxn08066;rxn01127;rxn00839;rxn00097;rxn00117;rxn08067;rxn01678;rxn01512;rxn00237;rxn01673
85,b0120,rxn00127
86,b3806,rxn00065
87,b0030,rxn00927;rxn01299;rxn00797;rxn01541;rxn01545
88,b2393,rxn05317;rxn05318;rxn08376;rxn05199;rxn05205;rxn05198;rxn05200
89,b2964,rxn05317;rxn05318;rxn08376;rxn05199;rxn08343;rxn05205;rxn05198;rxn05204;rxn05316;rxn08323;rxn05200
90,b2406,rxn05200;rxn05316;rxn05680;rxn05318;rxn05199;rxn05198
91,b0411,rxn08293;rxn08754;rxn08377;rxn08069;rxn09372;rxn08682;rxn08317
92,b1992,rxn03538
93,b0158;b1709;b1711,rxn08192;rxn08070;rxn08191
94,b1252;b3005;b3006;b3966,rxn08190;rxn08071;rxn08193
95,b3397,rxn00775
96,b0469,rxn00139
97,b2750,rxn00361
98,b1131,rxn00800;rxn03136
99,b4177,rxn00838
100,b0677,rxn01484
101,b0110,rxn08124;rxn08076;rxn08073;rxn08123
102,b2435,rxn08073;rxn08076
103,b2817,rxn08073;rxn08076
104,b4169,rxn08073;rxn08076
105,b1107,rxn08074;rxn08080;rxn08078
106,b0433,rxn08079;rxn08081;rxn08075
107,b3619,rxn03511
108,b2937,rxn00858
109,b3018,rxn08083;rxn08084;rxn08086;rxn08088;rxn08085;rxn08089;rxn08087
110,b3958,rxn02465
111,b0572;b0573;b0574;b0575,rxn08275;rxn08091
112,b4006,rxn00832;rxn03137
113,b0522,rxn05114
114,b0523,rxn05115
115,b0116;b0726;b0727,rxn08094
116,b2587,rxn05493
117,b1488,rxn07466
118,b3540;b3541;b3542;b3543;b3544,rxn08098;rxn09189;rxn05539
119,b1483;b1484;b1485;b1486;b1487,rxn08098
120,b0381,rxn00851
121,b0092,rxn00851
122,b1325,rxn08100
123,b4053,rxn00283
124,b1190,rxn00283
125,b0870,rxn00848;rxn04142;rxn00541;rxn08103
126,b2551,rxn00541;rxn04142;rxn00848;rxn08103;rxn00692
127,b2697,rxn19082
128,b3454;b3455;b3456;b3457;b3460,rxn05179;rxn05169;rxn05168;rxn08097;rxn05161
129,b4208,rxn05496;rxn05648;rxn05582;rxn05495;rxn05494
130,b0007,rxn08661;rxn05215
131,b0356,rxn00543;rxn00763;rxn08460
132,b1478,rxn00543
133,b1385,rxn01840
134,b1300,rxn05127;rxn00506
135,b3588,rxn08110;rxn00507
136,b4084,rxn02552
137,b4090,rxn00777;rxn08113
138,b0516,rxn08114
139,b0512,rxn01748
140,b0511,rxn05682
141,b4085,rxn08118
