,fluxes
rxn05528_c0,0.0
rxn08975_c0,0.0
rxn05559_c0,-11.09100935287567
rxn00459_c0,12.3454065423766
rxn00770_c0,0.14216609794019144
rxn05209_c0,-0.5238341146638128
rxn00175_c0,0.0
rxn10121_c0,0.0
rxn10120_c0,0.0
rxn01387_c0,0.20663511291220188
rxn01115_c0,0.0
rxn00161_c0,0.0
rxn00371_c0,0.0
rxn08655_c0,0.0
rxn03249_c0,0.0
rxn09272_c0,0.0
rxn05226_c0,5.0
rxn00615_c0,0.006692818377916252
rxn00569_c0,0.0
rxn00083_c0,0.0
rxn00874_c0,0.0
rxn05627_c0,0.0
rxn05313_c0,0.17461137155460427
rxn00785_c0,-1.5134714391201545
rxn00216_c0,-0.026872617450236735
rxn00558_c0,4.973127382549763
rxn08178_c0,0.0
rxn00077_c0,0.0006030151096092506
rxn01388_c0,-0.0018090453288285846
rxn01480_c0,0.0
rxn01200_c0,-1.6090737134844046
rxn01241_c0,0.0
rxn00288_c0,0.04628621487273582
rxn00763_c0,0.0
rxn01275_c0,0.0
rxn08656_c0,0.0
rxn00122_c0,0.0006030151096095386
rxn00985_c0,0.0
rxn08094_c0,0.0
rxn08179_c0,0.0
rxn05468_c0,4.834271392659382
rxn00974_c0,0.0
rxn00256_c0,-0.2048260675833733
rxn02167_c0,0.0
rxn00441_c0,0.0
rxn03250_c0,0.0
rxn00623_c0,-0.04804744176650731
rxn06526_c0,0.0
rxn05937_c0,0.0
rxn00990_c0,0.0
rxn01343_c0,1.5875756195242152
rxn00224_c0,0.0006030151096095369
rxn00604_c0,0.0
rxn00157_c0,-11.081964126232322
rxn05467_c0,-0.08100123821576428
rxn00330_c0,0.0
rxn14427_c0,0.0
rxn02201_c0,0.0
rxn00351_c0,0.0
rxn00836_c0,0.0
rxn05318_c0,0.0
rxn01094_c0,0.0
rxn08709_c0,0.005374523490047347
rxn00423_c0,0.04744442665689778
rxn00364_c0,0.11648696500295676
rxn03408_c0,0.005374523490047347
rxn02177_c0,0.0
rxn05250_c0,0.0
rxn00646_c0,0.0
rxn05440_c0,0.0
rxn01673_c0,0.0
rxn05156_c0,0.0
rxn00642_c0,0.0
rxn00022_c0,0.0
rxn02000_c0,0.005374523490047347
rxn00322_c0,0.0
rxn05457_c0,0.0
rxn00107_c0,0.0
rxn13783_c0,0.2148898459834189
rxn08934_c0,-0.005374523490047347
rxn04600_c0,0.0
rxn07966_c0,0.0
rxn04070_c0,0.0006030151096095369
rxn01358_c0,0.0
rxn10231_c0,0.0
rxn02944_c0,0.0
rxn01867_c0,0.0
rxn10270_c0,0.0
rxn12637_c0,0.0
rxn09240_c0,0.0
rxn01219_c0,0.0
rxn05958_c0,0.0
rxn09231_c0,0.0033875688169390916
rxn00800_c0,0.0483172644452975
rxn08333_c0,0.0012060302192190737
rxn08172_c0,0.0
rxn01705_c0,0.0
rxn09177_c0,0.0
rxn00211_c0,0.0
rxn00179_c0,0.0
rxn01210_c0,0.0
rxn05162_c0,0.0
rxn00192_c0,0.05421867245410904
rxn01218_c0,0.0
rxn00509_c0,0.0
rxn02898_c0,0.0012060302192190737
rxn05654_c0,0.0
rxn01199_c0,0.0
rxn02319_c0,0.0
rxn08807_c0,0.0
rxn05614_c0,0.0
rxn10344_c0,0.0
rxn02320_c0,-0.01703294281193212
rxn03384_c0,0.0
rxn05167_c0,0.0
rxn02504_c0,0.0018090453288285846
rxn04082_c0,0.0
rxn00262_c0,0.0
rxn03173_c0,0.0
rxn03039_c0,0.0
rxn10262_c0,0.0
rxn10209_c0,0.0
rxn09313_c0,0.0
rxn08084_c0,0.0
rxn10225_c0,0.0
rxn00898_c0,0.15756461760515728
rxn05444_c0,0.0
rxn05334_c0,0.0857896879636141
rxn10205_c0,0.0
rxn05235_c0,0.0
rxn02090_c0,0.0
rxn05377_c0,0.0
rxn05582_c0,0.0
rxn01843_c0,0.0
rxn07948_c0,0.0
rxn00816_c0,0.0
