,fluxes
rxn09231_c0,0.0025841866639997827
rxn00800_c0,0.03777854991151952
rxn08333_c0,0.0009200129583500948
rxn08172_c0,0.0
rxn01705_c0,0.0
rxn09177_c0,0.0
rxn00211_c0,0.0
rxn00179_c0,0.0
rxn01210_c0,0.0
rxn05162_c0,0.0
rxn00192_c0,0.041360390848762536
rxn01218_c0,0.0
rxn00509_c0,0.0
rxn02898_c0,0.0009200129583500948
rxn05654_c0,0.0
rxn01199_c0,0.0
rxn02319_c0,0.0
rxn08807_c0,0.0
rxn05614_c0,0.0
rxn10344_c0,0.0
rxn02320_c0,-0.012993478816775091
rxn03384_c0,0.0
rxn05167_c0,0.0
rxn02504_c0,0.0013800194375251373
rxn04082_c0,0.0
rxn00262_c0,0.0
rxn03173_c0,0.0
rxn03039_c0,0.0
rxn10262_c0,0.0
rxn10209_c0,0.0
rxn09313_c0,0.0
rxn08084_c0,0.0
rxn10225_c0,0.0
rxn00898_c0,0.2874081128326442
rxn05444_c0,0.0
rxn05334_c0,0.0654441516983241
rxn10205_c0,0.0
rxn05235_c0,0.0
rxn02090_c0,0.0
rxn05377_c0,0.0
rxn05582_c0,0.0
rxn01843_c0,0.0
rxn07948_c0,0.0
rxn00816_c0,0.0
rxn02988_c0,-0.0009200129583513667
rxn04792_c0,0.0
rxn01021_c0,0.0
rxn00165_c0,0.0
rxn10228_c0,0.0
rxn01117_c0,-0.01229976955055639
rxn00539_c0,0.0
rxn08137_c0,0.0
rxn00001_c0,0.0
rxn05369_c0,0.0
rxn01322_c0,0.0
rxn09685_c0,0.0
rxn01331_c0,0.0004600064791750474
rxn08895_c0,0.0
rxn11268_c0,0.0
rxn00710_c0,0.03438914994427408
rxn01114_c0,0.0
rxn02305_c0,0.0004600064791750474
rxn00470_c0,0.0009200129583500948
rxn05687_c0,0.0
rxn08817_c0,0.0
rxn00910_c0,-0.02739025037370299
rxn11944_c0,0.0
rxn01129_c0,-0.0025841866639997827
rxn08296_c0,0.0
rxn00717_c0,0.0
rxn08710_c0,0.004099923183518797
rxn05647_c0,0.0
rxn01297_c0,0.0
rxn01962_c0,0.0
rxn10254_c0,0.0
rxn05300_c0,0.0
rxn05459_c0,0.040844612597211324
rxn01682_c0,0.0
rxn08796_c0,0.0
rxn08941_c0,0.004099923183518797
rxn03181_c0,0.004099923183518797
rxn08254_c0,0.0
rxn09360_c0,0.0
rxn01152_c0,0.0
rxn02331_c0,-0.01229976955055639
rxn12846_c0,0.0
rxn00337_c0,0.36466494646009695
rxn05221_c0,0.0
rxn08308_c0,0.0
rxn00208_c0,0.0
rxn08823_c0,0.0
rxn02552_c0,0.0
rxn05434_c0,0.0
rxn00140_c0,0.0
rxn05346_c0,0.06544415169832413
rxn00452_c0,-0.004140058312576698
rxn03248_c0,0.0
rxn08127_c0,0.0
rxn05386_c0,0.0
rxn05516_c0,0.0
rxn05733_c0,0.0
rxn00416_c0,0.0
rxn09206_c0,0.0
rxn08017_c0,0.0
rxn10147_c0,0.0
rxn09209_c0,0.0
rxn10148_c0,0.0
rxn12512_c0,0.0009200129583500499
rxn08669_c0,0.0
rxn00902_c0,-0.061536531699670896
rxn07474_c0,0.0
rxn07951_c0,0.0
rxn06672_c0,0.0
rxn00649_c0,0.037112710811396
rxn01739_c0,0.05606992548537786
rxn02400_c0,0.0
rxn01268_c0,0.0
rxn00361_c0,0.03849273024892241
rxn02679_c0,0.0
rxn01974_c0,0.05089104633830997
rxn00242_c0,0.0
rxn12641_c0,0.0
rxn05316_c0,0.0
rxn05185_c0,0.0
rxn08471_c0,0.0
rxn03887_c0,0.0
rxn08201_c0,0.0
rxn05469_c0,0.0
rxn00060_c0,0.0009200129583500948
rxn05350_c0,0.0654441516983241
rxn07965_c0,0.0
rxn09198_c0,0.0
